WTIO,SETIO,DMI,ONI,ENSO,SOI,D20_SCTR
-0.21,-0.38,0.17,-0.93,La Nina,1.5,64.22596326999918
-0.01,-0.11,0.1,-0.84,La Nina,0.4,75.08968833170768
-0.02,-0.31,0.29,-0.66,La Nina,0.3,69.51886604105702
-0.29,0.04,-0.3299999999999999,-0.48,Neutral,0.5,59.7441869291903
-0.12,0.35,-0.47,-0.38,Neutral,0.4,61.56769507591605
0.07,0.55,-0.48,-0.4,Neutral,1.4,69.61022076928995
0.07,0.41,-0.3399999999999999,-0.49,Neutral,0.6,78.58011797260338
0.15,0.27,-0.12,-0.67,Neutral,0.8,85.4225846948401
-0.02,0.66,-0.68,-0.81,Neutral,0.7,79.77058288030686
-0.01,0.37,-0.38,-0.98,Neutral,1.0,71.89285699071048
0.12,0.32,-0.2,-0.98,Neutral,1.5,62.252387960462734
0.28,0.55,-0.27,-0.97,La Nina,0.5,66.53163656931436
-0.1,0.27,-0.37,-0.93,La Nina,1.1,72.05824167162275
-0.06,0.06,-0.12,-0.99,La Nina,1.8,80.78846185563015
-0.03,0.34,-0.37,-1.06,La Nina,1.7,84.04567488978488
-0.12,0.43,-0.55,-0.99,La Nina,1.4,74.96824027657466
-0.1,0.6,-0.7,-0.85,La Nina,1.7,65.41161581844952
